jp,en
何,what
あ,a
あなた,you
言,Word
行,OK
人,people
知,Know
事,case
彼女,she
お前,you
話,Story
来,Come
分か,Division
者,By
聞,smell
死,die
時,hour
ああ,ah
殺,kill
前,forward
中,middle
達,Reach
必要,need
あの,that
気,air
大丈夫,are you OK
自分,myself
持,hold
本当,TRUE
時間,time
我々,we
一,one
的,of
無,none
ありがとう,thank you
家,Home
会,meeting
日,Day
年,Year
仕事,work
手,hand
一緒,together
後,back
出来,come out
他,he
入,enter
電話,Telephone
目,eye
様,looks
分,point
車,car
所,Place
あんた,You
度,Every time
同じ,same
場所,place
問題,question
子供,child
愛,like
金,Money
名前,name
子,Child
信,letter
さあ,here we go
少し,a bit
使,make
全て,all
世界,world
教え,lesson
通り,street
来る,come
上,superior
入れ,Get in
人間,human
行け,go
今日,today
物,thing
女,female
呼,call
生き,Life
あれ,that
じゃあ,Then
止め,Stop
心配,anxiety
母,mother
連れ,Companion
関係,relationship
外,outside
家族,family
起き,Rising
意味,meaning
神,god
警察,police
力,force
最後,at last
作,do
次,Second-rate
息子,son
取,Pick
全部,all
